PH1,PH2,PH3,PH4,PH5,PH6,PH7,PH8,PH9,PH10,PH11,PH12,PH13,PH14,PH15
1,1, 0.865451629905277, 0.574084820781249, 0.551814751846668, 0.843181560970695,1,1,1,1,1,1,1,1,1
1, 0.868304159685128, 0.543493073286939, 0.331770814797006, 0.506279048473707, 0.849697147278512,1,1,1,1,1,1,1,1,1
1, 0.868477135227458, 0.544972117404275, 0.336209386563939, 0.511410961824885, 0.851696557437763,1,1,1,1,1,1,1,1,1
  0.878916901413070, 0.574546702428523, 0.302526916566270, 0.280015997579865, 0.556053548109663, 0.882934666080614,1,1,1,1,1,1,1,1,1
  0.878885805474312, 0.574333940018457, 0.301395766979404, 0.277578917956498, 0.553877267677052, 0.882245982155813,1,1,1,1,1,1,1,1,1
  0.846469458658148, 0.483546913301272, 0.236869422865639, 0.408975940460056, 0.809183972237540,1,1,1,1,1,1,1,1,1,1
  0.846421405258744, 0.483080361133295, 0.235294221674549, 0.407032980984186, 0.808397715184189,1,1,1,1,1,1,1,1,1,1
  0.846484650819776, 0.483681384809415, 0.237304374044414, 0.409503196939687, 0.809395556884911,1,1,1,1,1,1,1,1,1,1
  0.323137044441928, 0.220252285817010, 0.235463672028092, 0.507626502066619, 0.857076329703886,1,1,1,1,1,1,1,1,1,1
  0.323760920709935, 0.222387231577456, 0.239581612288452, 0.511394411544261, 0.858361510376666,1,1,1,1,1,1,1,1,1,1
  0.280669963977973, 0.209844675165699, 0.267181059628053, 0.542976115245311, 0.868199063344004,1,1,1,1,1,1,1,1,1,1
  0.302517342244949, 0.250537461709849, 0.300779930781571, 0.552580780054689, 0.868140094373285,1,1,1,1,1,1,1,1,1,1
  0.300564783553794, 0.254402227940435, 0.315365194668719, 0.569599685212058, 0.874779302600925,1,1,1,1,1,1,1,1,1,1
  0.321926607229217, 0.305910733940496, 0.374593420425490, 0.603737899881703, 0.883222643515194,1,1,1,1,1,1,1,1,1,1
  0.328426128154275, 0.317148481570896, 0.392218303724953, 0.620295454632896, 0.889332886707102,1,1,1,1,1,1,1,1,1,1
  0.388111864310988, 0.424354205300139, 0.604790296976084, 0.877000104755856,1,1,1,1,1,1,1,1,1,1,1
  0.402488123881756, 0.440837779415535, 0.618433847377095, 0.881734860360089,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1, 0.879465348023172, 0.758930696046344, 0.879465348023172
  0.693613480681279, 0.897871160227093,1,1,1,1,1,1,1,1,1, 0.895286252468700, 0.671151014414775, 0.656443271423450, 0.880578509477375
1,1,1,1,1,1,1,1,1,1,1, 0.825928736375771, 0.492443201315398, 0.507100193503484, 0.840585728563857
1,1,1,1,1,1,1,1,1,1, 0.875536416770163, 0.579756451643255, 0.387916938915465, 0.538710189981815, 0.855013285939443
1,1,1,1,1,1,1,1,1,1, 0.864576575400895, 0.530894046474437, 0.321430825990301, 0.508485814160872, 0.853372459244113
1,1,1,1,1,1,1,1,1,1, 0.814525066379514, 0.468985633931160, 0.381673432203961, 0.614490228132500, 0.887277363480184
1,1,1,1,1,1,1,1,1,1, 0.805369715644463, 0.448577531225727, 0.372642549634166, 0.621031368169003, 0.891596634116101
1,1,1,1,1,1,1,1, 0.896911354045838, 0.656651092825019, 0.395960300851262, 0.285033091507952, 0.524232881533004, 0.875420352097133,1
1,1,1,1,1,1,1,1, 0.885049870295009, 0.619646625552179, 0.356369725534716, 0.282643585175993, 0.549515144481510, 0.888644529583063,1
1,1,1,1,1,1,1,1, 0.885049870295009, 0.619646625552179, 0.356369725534716, 0.282643585175993, 0.549515144481510, 0.888644529583063,1
1,1,1,1,1,1,1,1, 0.882031621562001, 0.610940926648687, 0.343186124679571, 0.274057391737089, 0.552162008220205, 0.892381436076002,1
1,1,1,1,1,1,1,1, 0.883592495845499, 0.615829094799079, 0.347677021727554, 0.272930953453765, 0.548184741693688, 0.890694211013897,1
1,1,1,1,1,1,1,1, 0.876170035536395, 0.592506702691162, 0.327059900712454, 0.381279835497003, 0.770556601939315,1,1
1,1,1,1,1,1,1,1, 0.874576926971231, 0.587499866016396, 0.323203038684833, 0.382214187205403, 0.771934087565735,1,1
1,1,1,1,1,1,1,1, 0.866219398360141, 0.561311393768922, 0.304984879167327, 0.390913170468451, 0.781020286709905,1,1
1,1,1,1,1,1,1,1, 0.857338301707120, 0.533193101800224, 0.285621973405393, 0.401017848238595, 0.791250674926306,1,1
1,1,1,1,1,1,1,1, 0.865630788620122, 0.559452208617540, 0.303667767610294, 0.391502063848457, 0.781655716235580,1,1
1,1,1,1,1,1,1,1, 0.845968598868970, 0.508402670183861, 0.294256112940230, 0.447178610804756, 0.815356569179417,1,1
1,1,1,1,1,1,1,1, 0.849965229189802, 0.520965417530596, 0.305156325015196, 0.447277314197812, 0.813121177523410,1,1
